         x       f(x)       g(x)
    -1.139     -0.761     -0.157
    -1.040     -0.874     -0.526
    -0.941     -0.952     -0.813
    -0.842     -0.994     -0.975
    -0.743     -0.996     -0.985
    -0.644     -0.960     -0.843
    -0.545     -0.886     -0.571
    -0.446     -0.778     -0.210
    -0.347     -0.639      0.184
    -0.248     -0.475      0.549
    -0.149     -0.293      0.829
    -0.050     -0.099      0.980
     0.050      0.099      0.980
     0.149      0.293      0.829
     0.248      0.475      0.549
     0.347      0.639      0.184
     0.446      0.778     -0.210
     0.545      0.886     -0.571
     0.644      0.960     -0.843
     0.743      0.996     -0.985
     0.842      0.994     -0.975
     0.941      0.952     -0.813
     1.040      0.874     -0.526
     1.139      0.761     -0.157
     1.238      0.618      0.236
     1.337      0.451      0.592
     1.436      0.267      0.857
     1.535      0.072      0.990
     1.634     -0.125      0.969
     1.733     -0.318      0.798
     1.832     -0.498      0.503
     1.931     -0.659      0.131
     2.030     -0.794     -0.262
     2.129     -0.898     -0.614
     2.228     -0.967     -0.871
     2.327     -0.998     -0.993
     2.426     -0.990     -0.962
     2.525     -0.944     -0.781
     2.624     -0.860     -0.480
     2.723     -0.743     -0.104
     2.822     -0.597      0.287
     2.921     -0.427      0.635
     3.020     -0.241      0.884
     3.119     -0.046      0.996
     3.218      0.152      0.954
     3.317      0.343      0.764
     3.416      0.521      0.456
     3.515      0.679      0.078
     3.614      0.810     -0.313
     3.713      0.910     -0.655
     3.812      0.974     -0.896
     3.911      0.999     -0.998
     4.010      0.986     -0.946
     4.109      0.935     -0.747
     4.208      0.846     -0.432
     4.307      0.725     -0.051
     4.406      0.575      0.338
     4.505      0.403      0.675
     4.604      0.215      0.907
     4.703      0.019      0.999
     4.802     -0.178      0.936
     4.901     -0.368      0.729
         x       f(x)       g(x)
    -5.000      0.544      0.991
    -4.901      0.368      0.809
    -4.802      0.178      0.433
    -4.703     -0.019     -0.047
    -4.604     -0.215     -0.516
    -4.505     -0.403     -0.861
    -4.406     -0.575     -0.999
    -4.307     -0.725     -0.898
    -4.208     -0.846     -0.580
    -4.109     -0.935     -0.124
    -4.010     -0.986      0.362
    -3.911     -0.999      0.762
    -3.812     -0.974      0.978
    -3.713     -0.910      0.960
    -3.614     -0.810      0.711
    -3.515     -0.679      0.291
    -3.416     -0.521     -0.198
    -3.317     -0.343     -0.640
    -3.218     -0.152     -0.928
    -3.119      0.046     -0.994
    -3.020      0.241     -0.820
    -2.921      0.427     -0.450
    -2.822      0.597      0.028
    -2.723      0.743      0.500
    -2.624      0.860      0.851
    -2.525      0.944      0.998
    -2.426      0.990      0.906
    -2.327      0.998      0.596
    -2.228      0.967      0.143
    -2.129      0.898     -0.345
    -2.030      0.794     -0.749
    -1.931      0.659     -0.974
    -1.832      0.498     -0.965
    -1.733      0.318     -0.724
    -1.634      0.125     -0.309
    -1.535     -0.072      0.180
    -1.436     -0.267      0.625
    -1.337     -0.451      0.921
    -1.238     -0.618      0.995
    -1.139     -0.761      0.831
    -1.040     -0.874      0.467
